,symbol,price_change,percent_change,last_price,high,low,volume
331,ILV/USDT,-0.4,-2.604,14.96,15.44,14.75,732985.14178
16,ICX/USDT,-0.0028,-2.607,0.1046,0.1077,0.104,404476.08537
184,FIO/USDT,-0.00049,-2.64,0.01807,0.019,0.01795,1387962.18908
134,COMP/USDT,-1.21,-2.663,44.22,45.64,43.87,720678.54174
332,YGG/USDT,-0.0057,-2.665,0.2082,0.2154,0.2048,1978213.29159
429,GAS/USDT,-0.081,-2.668,2.955,3.048,2.953,1375820.5535
63,DENT/USDT,-2.2e-05,-2.68,0.000799,0.000825,0.000788,693930.592324
15,ETC/USDT,-0.49,-2.685,17.76,18.31,17.68,4716370.9896
330,GALA/USDT,-0.0005,-2.691,0.01808,0.01892,0.01801,7705173.70381
374,SPELL/USDT,-1.8e-05,-2.702,0.0006481,0.0006693,0.0006457,1230508.8295916
534,VELODROME/USDT,-0.0016,-2.712,0.0574,0.0594,0.0573,1245287.53158
560,NIL/USDT,-0.016,-2.712,0.574,0.685,0.572,56105793.1709
6,QTUM/USDT,-0.062,-2.775,2.172,2.245,2.153,1087091.2194
383,BTTC/USDT,-2e-08,-2.778,7e-07,7.2e-07,7e-07,799713.48727776
29,HOT/USDT,-3.3e-05,-2.78,0.001154,0.001198,0.001145,985790.762293
57,COS/USDT,-0.000111,-2.79,0.003868,0.003996,0.003821,837065.3766805
72,BAND/USDT,-0.024,-2.817,0.828,0.86,0.821,720014.3634
473,ACE/USDT,-0.021,-2.823,0.723,0.747,0.71,1172310.4227
176,TRB/USDT,-0.9,-2.843,30.76,31.88,30.2,3637008.88437
178,SUSHI/USDT,-0.02,-2.845,0.683,0.705,0.665,2267633.2219
32,FET/USDT,-0.016,-2.847,0.546,0.565,0.535,12647323.7267
271,SUPER/USDT,-0.0171,-2.852,0.5825,0.6207,0.578,5164587.9523
24,LINK/USDT,-0.45,-2.854,15.32,15.8,15.26,37376695.222
440,EDU/USDT,-0.0044,-2.866,0.1491,0.1539,0.1473,1088747.9091
485,PORTAL/USDT,-0.003,-2.899,0.1005,0.1045,0.0998,987017.35755
386,XNO/USDT,-0.032,-2.909,1.068,1.102,1.056,364362.56813
369,VOXEL/USDT,-0.0024,-2.913,0.08,0.083,0.0795,539195.83896
70,CVC/USDT,-0.003,-2.915,0.0999,0.1031,0.0999,429816.3155
172,LUNA/USDT,-0.0063,-2.915,0.2098,0.2169,0.2074,1265814.860273
432,QKC/USDT,-0.000216,-2.926,0.007166,0.007413,0.007166,242729.388705
30,ZIL/USDT,-0.00038,-2.928,0.0126,0.01301,0.01253,952586.262937
33,BAT/USDT,-0.0046,-2.939,0.1519,0.1573,0.1518,428132.5198
171,DOT/USDT,-0.14,-2.962,4.586,4.751,4.495,23979788.9365
487,AXL/USDT,-0.0128,-2.978,0.417,0.4336,0.4117,1411298.963892
452,WLD/USDT,-0.029,-3.005,0.936,0.986,0.926,21374691.5579
8,XRP/USDT,-0.0716,-3.01,2.3074,2.3851,2.3021,279093052.4457
209,XVS/USDT,-0.19,-3.021,6.1,6.29,6.04,1155834.2416
377,ACH/USDT,-0.00079,-3.037,0.02522,0.02614,0.02473,3402819.06379
130,KNC/USDT,-0.012,-3.057,0.3806,0.3947,0.379,269953.22372
490,AEVO/USDT,-0.0041,-3.097,0.1283,0.1334,0.1258,2387261.194882
82,KAVA/USDT,-0.0148,-3.099,0.4627,0.4824,0.4626,2986762.65451
338,AGLD/USDT,-0.033,-3.102,1.031,1.065,1.014,1781357.113
536,1000CAT/USDT,-0.00026,-3.103,0.00812,0.00855,0.008,3228349.030631
530,ACX/USDT,-0.009,-3.108,0.2806,0.2911,0.2799,2241972.84351
524,COW/USDT,-0.0102,-3.111,0.3177,0.34,0.3156,5721292.69603
421,GNS/USDT,-0.05,-3.119,1.553,1.613,1.539,285477.09016
11,IOTA/USDT,-0.0063,-3.131,0.1949,0.2023,0.1906,3129936.2371
77,RVN/USDT,-0.00041,-3.159,0.01257,0.01306,0.01252,708772.861342
456,ARK/USDT,-0.0113,-3.179,0.3442,0.3604,0.3419,826174.3441
168,SAND/USDT,-0.01,-3.191,0.3034,0.3179,0.3016,4829514.278
173,RSR/USDT,-0.000253,-3.214,0.007618,0.008195,0.007617,12502812.761354
45,ATOM/USDT,-0.158,-3.217,4.753,4.965,4.738,6598219.29692
80,NKN/USDT,-0.0016,-3.219,0.0481,0.0499,0.048,639855.3339
308,QNT/USDT,-2.5,-3.226,75.0,77.7,75.0,1484149.1197
408,GMX/USDT,-0.47,-3.264,13.93,14.6,13.92,1017399.73484
276,PUNDIX/USDT,-0.0104,-3.275,0.3072,0.3195,0.3066,401578.86435
446,SNT/USDT,-0.00085,-3.278,0.02508,0.02612,0.02508,317754.09439
88,BCH/USDT,-11.0,-3.279,324.5,340.0,321.1,14525747.8231
117,DATA/USDT,-0.00065,-3.28,0.01917,0.01989,0.01896,446681.60807
37,CELR/USDT,-0.00036,-3.291,0.01058,0.01099,0.01058,518963.611842
418,RPL/USDT,-0.18,-3.303,5.27,5.48,5.26,876246.1199
376,JOE/USDT,-0.0069,-3.311,0.2015,0.2094,0.2002,857524.787083
417,HIFI/USDT,-0.0112,-3.321,0.326,0.3377,0.3244,272420.83433
360,PYR/USDT,-0.047,-3.324,1.367,1.429,1.363,1363696.646061
402,LDO/USDT,-0.035,-3.324,1.018,1.063,1.008,5889278.92174
342,LAZIO/USDT,-0.037,-3.348,1.068,1.111,1.066,382700.66432
379,GLMR/USDT,-0.0031,-3.373,0.0888,0.0925,0.0878,965494.99312
284,BAKE/USDT,-0.0051,-3.377,0.1459,0.153,0.1455,2849095.53957
265,POND/USDT,-0.00039,-3.391,0.01111,0.01154,0.01108,438712.85855
251,RIF/USDT,-0.0016,-3.404,0.0454,0.0474,0.0454,350753.8814
222,CTK/USDT,-0.0134,-3.414,0.3791,0.3936,0.3787,431902.9763
277,TLM/USDT,-0.00022,-3.47,0.00612,0.00646,0.00606,1001047.32171
486,PDA/USDT,-0.00071,-3.474,0.01973,0.02056,0.01968,654204.746057
532,MOVE/USDT,-0.0172,-3.489,0.4758,0.5061,0.4736,9687406.78807
433,UFT/USDT,-0.0028,-3.496,0.0773,0.082,0.0766,379603.6029
449,PENDLE/USDT,-0.104,-3.519,2.851,2.998,2.841,7624989.351
483,PIXEL/USDT,-0.00139,-3.524,0.03805,0.03973,0.03758,1895081.797162
71,CHZ/USDT,-0.00172,-3.541,0.04685,0.04863,0.04655,3187250.26848
132,LRC/USDT,-0.004,-3.562,0.1083,0.1128,0.108,652172.2336
493,ENA/USDT,-0.0155,-3.566,0.4192,0.4454,0.4178,58148632.826216
182,DIA/USDT,-0.0148,-3.569,0.3999,0.421,0.3985,689484.13157
204,FLM/USDT,-0.0013,-3.581,0.035,0.0365,0.0347,605619.7799
407,LUNC/USDT,-2.42e-06,-3.589,6.5e-05,6.755e-05,6.49e-05,2029351.73111691
393,APE/USDT,-0.0206,-3.622,0.5481,0.5699,0.5437,2712169.08318
19,VET/USDT,-0.00097,-3.64,0.02568,0.02675,0.02561,8137532.565579
35,ZEC/USDT,-1.41,-3.641,37.32,39.38,37.11,3689136.31036
442,AERGO/USDT,-0.0024,-3.642,0.0635,0.0697,0.061,841253.062
42,ENJ/USDT,-0.0036,-3.655,0.0949,0.099,0.0935,1470437.26916
263,FIS/USDT,-0.0064,-3.67,0.168,0.1768,0.1673,1179228.5228
259,DODO/USDT,-0.0029,-3.694,0.0756,0.0789,0.0752,600216.85573
475,AI/USDT,-0.0072,-3.721,0.1863,0.1945,0.1848,1659028.16874
286,SLP/USDT,-6.9e-05,-3.726,0.001783,0.001863,0.001753,1218519.019548
551,HEI/USDT,-0.0172,-3.741,0.4426,0.4654,0.4407,1533505.05764
537,PENGU/USDT,-0.00027,-3.745,0.006939,0.007222,0.006714,9248088.132325
388,ALPINE/USDT,-0.035,-3.755,0.897,0.935,0.896,496684.52807
311,MINA/USDT,-0.0106,-3.759,0.2714,0.2832,0.2713,1503165.18989
368,FXS/USDT,-0.088,-3.764,2.25,2.352,2.222,1374705.9649
226,AXS/USDT,-0.131,-3.767,3.347,3.489,3.329,2497809.83043
372,PEOPLE/USDT,-0.00072,-3.797,0.01824,0.01932,0.018,3855104.346355
297,GTC/USDT,-0.014,-3.815,0.353,0.369,0.351,342196.8505
555,GPS/USDT,-0.0012,-3.846,0.03,0.0315,0.0298,2877688.85829
477,MANTA/USDT,-0.011,-3.846,0.275,0.288,0.272,3506285.9546
151,DCR/USDT,-0.49,-3.895,12.09,12.72,12.09,228853.44112
476,XAI/USDT,-0.0028,-3.944,0.0682,0.0712,0.0675,3037834.7093
